cluster,player,hits,homeruns,age,similarPlayers
16,andruel01,163,2,26,castijo01;dejesiv01;lemonch01;mazzile01;murphdw01;randowi01;washiul01;whitalo01;butlebr01;francju01;garcida01;henderi01;molitpa01;penato01;rayjo01;trammal01;butlebr01;gaettga01;penato01;ramirra01;whitalo01;wiggial01;trammal01;bradlph01;samueju01;jamesdi01;colemvi01;grubeke01;thomaan01;gracema01;grubeke01;guilloz01;oquenjo01;palmera01;reedjo01;whitede03;biggicr01;johnsla03;biggicr01;zeileto01;bordimi01;loftoke01;gonzalu01;offerjo01;vizcajo01;willibe02;loftoke01;alomaro01;bellde01;frymatr01;durhara01;mabryjo01;vinafe01;claytro01;cordewi01;huntebr02;muellbi02;bushho01;vidrojo01;belliro01;kotsama01;anderma02;caseyse01;catalfr01;cedenro01;erstada01;kendaja01;vidrojo01;renteed01;spiveju01;youngmi02;byrdma01;pierzaj01;rolliji01;furcara01;guzmacr01;jimenda01;redmati01;berroan01;blaloha01;youklke01;betanyu01;kearnau01;teahema01;betanyu01;canoro01;ellsbja01;jacksco01;johnske05;martiru01;aybarer01;escobyu01;gutiefr01;loneyja01;suzukku01;wrighda03;bartoda02;drewst01;headlch01;loneyja01;reyesjo01;aybarer01;loneyja01;walkene01;alonsyo01;brantmi02;jacksau01;brantmi02;jacksau01;kipnija01;parrage01;andruel01;harrijo05;heywaja01
16,aybarer01,164,7,30,bellbu01;bochtbr01;cedence01;griffke01;matthga01;taverfr01;trillma01;bellbu01;dauerri01;morenom01;castijo01;knighra01;morelke01;remyje01;randowi01;wilsowi02;brookhu01;oestero01;templga01;butlebr01;yountro01;barrema02;brockgr01;butlebr01;francju01;lansfca01;whitalo01;baineha01;bradlph01;butlebr01;gladdda01;lansfca01;mcgeewi01;ramirra01;wallati01;bradlph01;gallada01;pendlte01;thompmi02;jacobbr01;puckeki01;reynoha01;saxst01;fernato01;reynoha01;samueju01;duncama01;johnsla03;joynewa01;krukjo01;polonlu01;whitede03;hamilda02;mclemma01;polonlu01;surhobj01;whitede03;larkiba01;corajo01;jordabr01;valenjo02;vizquom01;coomero01;jeffere01;loftoke01;moranmi01;vizcajo01;vizquom01;disarga01;goodwto01;knoblch01;lansimi01;lewisda01;grudzma01;deshide01;muellbi02;gutieri01;loducpa01;damonjo01;jeterde01;liebemi01;loducpa01;vidrojo01;walketo04;alfoned01;castilu01;eckstda01;lugoju01;caseyse01;kendaja01;kotsama01;stewash01;derosma01;roberbr01;furcara01;hudsoor01;huffau01;renteed01;dejesda01;rolliji01;sanchfr01;bartlja01;dejesda01;guzmacr01;schumsk01;wellsve01;cuddymi01;infanom01;infanom01;aokino01;kendrho01;pedrodu01;ramiral03;craigal01;deazaal01;johnsch05;loneyja01;molinya01;aybarer01;carpema01;ellsbja01;johnsch05;pedrodu01
16,carpema01,162,8,29,bellbu01;bochtbr01;cedence01;dauerri01;griffke01;knighra01;matthga01;trillma01;willsbu01;dauerri01;manniri01;morenom01;randowi01;castijo01;morelke01;samplbi01;smithlo01;wilsowi02;brookhu01;guerrpe01;herrto01;randowi01;wilsomo01;wilsowi02;brookhu01;oestero01;rayjo01;templga01;butlebr01;doranbi02;fletcsc01;tablepa01;wilsogl01;barrema02;brockgr01;butlebr01;francju01;lansfca01;thompmi02;whitalo01;baineha01;bradlph01;gwynnto01;mcgeewi01;perryge01;ramirra01;samueju01;bradlph01;gallada01;pendlte01;thompmi02;jamesch02;puckeki01;reynoha01;saxst01;fernato01;greenmi01;johnsla03;duncama01;johnsla03;joynewa01;kellyro01;larkiba01;polonlu01;whitede03;corajo01;hamilda02;mclemma01;polonlu01;surhobj01;zeileto01;jordabr01;valenjo02;vizquom01;jeffere01;loftoke01;oleartr01;vizcajo01;vizquom01;goodwto01;knoblch01;lansimi01;benarma01;grudzma01;muellbi02;damonjo01;gonzaal01;kendaja01;loducpa01;damonjo01;jeterde01;jonesja04;vidrojo01;walketo04;castilu01;eckstda01;lugoju01;milesaa01;podsesc01;beltrca01;ingebr01;kotsama01;rowanaa01;wilsoja02;figgich01;roberbr01;dejesda01;furcara01;hudsoor01;dejesda01;rolliji01;schumsk01;bartlja01;dejesda01;schumsk01;infanom01;infanom01;kotchca01;aokino01;aybarer01;cabreme01;kendrho01;pedrodu01;craigal01;deazaal01;jayjo02;johnsch05;loneyja01;aybarer01;carpema01;escobal02;johnsch05
16,castrst01,154,14,24,garcida01;lansfca01;lemonch01;mazzile01;murphdw01;templga01;whitalo01;francju01;henderi01;sandbry01;trammal01;puckeki01;fernato01;guilloz01;jamesdi01;burksel01;lindjo01;thomaan01;gracema01;guilloz01;palmera01;biggicr01;bagweje01;knoblch01;mcraebr01;bagweje01;deshide01;loftoke01;claytro01;gatesbr01;offerjo01;vizcajo01;willibe02;beckeri01;durhara01;alfoned01;erstada01;erstada01;kotsama01;renteed01;vidrojo01;belliro01;encarju01;kennead01;kotsama01;renteed01;rolliji01;rolliji01;burrose01;canoro01;betanyu01;hillaa01;betanyu01;pedrodu01;ellsbja01;martiru01;aybarer01;cabreas01;coghlch01;loneyja01;bartoda02;mccutan01;andruel01;alonsyo01;brantmi02;jacksau01;castrst01;castrst01;heywaja01;yelicch01
16,ellsbja01,156,16,31,bochtbr01;conceda01;griffke01;harrato01;matthga01;taverfr01;trillma01;bellbu01;bochtbr01;dauerri01;morenom01;whitefr01;knighra01;madlobi01;parkeda01;remyje01;mumphje01;randowi01;morelke01;yountro01;brockgr01;butlebr01;lansfca01;whitalo01;butlebr01;gladdda01;lansfca01;lawva01;mcgeewi01;ramirra01;wallati01;bradlph01;rayjo01;thompmi02;wallati01;jacobbr01;puckeki01;reynoha01;saxst01;phillto02;raineti01;reynoha01;samueju01;gwynnto01;hallme01;joynewa01;krukjo01;ripkeca01;whitede03;gagnegr01;polonlu01;whitede03;larkiba01;corajo01;mclemma01;blausje01;coomero01;loftoke01;moranmi01;vizquom01;brosisc01;disarga01;goodwto01;knoblch01;lansimi01;lewisda01;seguida01;deshide01;olerujo01;gutieri01;loducpa01;damonjo01;liebemi01;loducpa01;walketo04;alfoned01;bautida01;caseyse01;kendaja01;kotsama01;perezne01;stewash01;derosma01;kendaja01;winnra01;furcara01;hudsoor01;huffau01;renteed01;rolliji01;sanchfr01;bartlja01;dejesda01;furcara01;guzmacr01;hudsoor01;wellsve01;cuddymi01;figgich01;infanom01;aokino01;ramiral03;molinya01;phillbr01;aybarer01;ellsbja01;johnsch05;pedrodu01
16,escobal02,165,3,28,bellbu01;cedence01;dauerri01;dejesiv01;knighra01;washiul01;willsbu01;manniri01;randowi01;castijo01;molitpa01;morelke01;samplbi01;smithlo01;wilsowi02;brookhu01;butlebr01;guerrpe01;herrto01;penato01;whitalo01;wilsomo01;wilsowi02;brookhu01;oestero01;rayjo01;templga01;trammal01;bradlph01;butlebr01;doranbi02;fletcsc01;tablepa01;wilsogl01;barrema02;francju01;thompmi02;baineha01;bradlph01;colemvi01;gwynnto01;perryge01;samueju01;gallada01;grubeke01;pendlte01;reedjo01;whitede03;jamesch02;johnsla03;fernato01;greenmi01;johnsla03;bordimi01;duncama01;johnsla03;kellyro01;larkiba01;polonlu01;corajo01;hamilda02;mclemma01;surhobj01;zeileto01;loftoke01;alomaro01;bellde01;jordabr01;valenjo02;vinafe01;vizquom01;claytro01;jeffere01;oleartr01;vizcajo01;huntebr02;muellbi02;benarma01;bushho01;grudzma01;muellbi02;anderma02;caseyse01;catalfr01;cedenro01;damonjo01;erstada01;gonzaal01;kendaja01;vidrojo01;kendaja01;spiveju01;jeterde01;jonesja04;pierzaj01;vidrojo01;castilu01;eckstda01;furcara01;jimenda01;lugoju01;milesaa01;podsesc01;redmati01;beltrca01;berroan01;ingebr01;rowanaa01;wilsoja02;figgich01;roberbr01;youklke01;dejesda01;kearnau01;dejesda01;schumsk01;escobyu01;schumsk01;wrighda03;drewst01;infanom01;reyesjo01;aybarer01;kotchca01;loneyja01;aybarer01;cabreme01;kendrho01;pedrodu01;craigal01;deazaal01;jayjo02;johnsch05;loneyja01;carpema01;escobal02;harrijo05
16,harrijo05,164,13,27,castijo01;dauerri01;dejesiv01;knighra01;randowi01;washiul01;willsbu01;manniri01;randowi01;butlebr01;garcida01;molitpa01;penato01;rayjo01;samplbi01;smithlo01;wilsowi02;brookhu01;butlebr01;gaettga01;guerrpe01;herrto01;penato01;ramirra01;whitalo01;wiggial01;wilsomo01;rayjo01;trammal01;bradlph01;doranbi02;fletcsc01;samueju01;tablepa01;wilsogl01;thompmi02;colemvi01;grubeke01;gwynnto01;perryge01;samueju01;grubeke01;oquenjo01;reedjo01;whitede03;jamesch02;johnsla03;biggicr01;greenmi01;johnsla03;zeileto01;bordimi01;kellyro01;larkiba01;corajo01;gonzalu01;zeileto01;loftoke01;alomaro01;bellde01;frymatr01;mabryjo01;vinafe01;claytro01;cordewi01;oleartr01;huntebr02;muellbi02;benarma01;bushho01;anderma02;caseyse01;catalfr01;cedenro01;damonjo01;erstada01;gonzaal01;kendaja01;vidrojo01;kendaja01;renteed01;spiveju01;youngmi02;byrdma01;jonesja04;pierzaj01;furcara01;guzmacr01;jimenda01;milesaa01;podsesc01;redmati01;beltrca01;berroan01;ingebr01;rowanaa01;wilsoja02;blaloha01;figgich01;youklke01;dejesda01;kearnau01;teahema01;betanyu01;canoro01;jacksco01;johnske05;schumsk01;escobyu01;gutiefr01;suzukku01;wrighda03;drewst01;headlch01;loneyja01;reyesjo01;aybarer01;kotchca01;loneyja01;walkene01;aybarer01;cabreme01;brantmi02;jacksau01;jayjo02;kipnija01;parrage01;andruel01;escobal02;harrijo05
16,heywaja01,155,11,25,castijo01;lemonch01;mazzile01;murphdw01;randowi01;templga01;whitalo01;butlebr01;francju01;garcida01;henderi01;penato01;rayjo01;sandbry01;trammal01;gaettga01;puckeki01;ramirra01;wiggial01;samueju01;jamesdi01;burksel01;grubeke01;lindjo01;thomaan01;gracema01;guilloz01;oquenjo01;palmera01;biggicr01;biggicr01;mcraebr01;zeileto01;bagweje01;loftoke01;gonzalu01;offerjo01;vizcajo01;willibe02;frymatr01;beckeri01;durhara01;mabryjo01;alfoned01;cordewi01;erstada01;vidrojo01;belliro01;encarju01;kennead01;kotsama01;renteed01;renteed01;rolliji01;youngmi02;byrdma01;rolliji01;burrose01;guzmacr01;betanyu01;blaloha01;hillaa01;betanyu01;pedrodu01;teahema01;betanyu01;canoro01;ellsbja01;jacksco01;johnske05;martiru01;aybarer01;cabreas01;coghlch01;gutiefr01;loneyja01;suzukku01;bartoda02;headlch01;loneyja01;mccutan01;walkene01;alonsyo01;brantmi02;jacksau01;brantmi02;jacksau01;kipnija01;parrage01;andruel01;castrst01;heywaja01
16,hunteto01,157,17,39,carewro01;cruzjo01;downibr01;smithoz01;smithoz01;molitpa01;boggswa01;ripkeca01;vizquom01;gonzalu01;hunteto01
16,johnsch05,153,10,30,bellbu01;bochtbr01;cedence01;griffke01;matthga01;taverfr01;trillma01;bellbu01;dauerri01;morenom01;castijo01;knighra01;morelke01;remyje01;randowi01;wilsowi02;brookhu01;oestero01;templga01;butlebr01;yountro01;barrema02;brockgr01;butlebr01;francju01;lansfca01;whitalo01;baineha01;bradlph01;butlebr01;gladdda01;lansfca01;mcgeewi01;ramirra01;wallati01;bradlph01;gallada01;pendlte01;thompmi02;jacobbr01;puckeki01;reynoha01;saxst01;fernato01;reynoha01;samueju01;duncama01;johnsla03;joynewa01;krukjo01;polonlu01;whitede03;hamilda02;mclemma01;polonlu01;surhobj01;whitede03;larkiba01;corajo01;jordabr01;valenjo02;vizquom01;coomero01;jeffere01;loftoke01;moranmi01;vizcajo01;vizquom01;disarga01;goodwto01;knoblch01;lansimi01;lewisda01;grudzma01;deshide01;muellbi02;gutieri01;loducpa01;damonjo01;jeterde01;liebemi01;loducpa01;vidrojo01;walketo04;alfoned01;castilu01;eckstda01;lugoju01;caseyse01;kendaja01;kotsama01;stewash01;derosma01;roberbr01;furcara01;hudsoor01;huffau01;renteed01;dejesda01;rolliji01;sanchfr01;bartlja01;dejesda01;guzmacr01;schumsk01;wellsve01;cuddymi01;infanom01;infanom01;aokino01;kendrho01;pedrodu01;ramiral03;craigal01;deazaal01;johnsch05;loneyja01;molinya01;aybarer01;carpema01;ellsbja01;johnsch05;pedrodu01
