cluster,player,season,hits,homeruns,age
4,garvest01,1980,200,26,32
4,coopece01,1982,205,32,33
4,yountro01,1982,210,29,27
4,coopece01,1983,203,30,34
4,dawsoan01,1983,189,32,29
4,riceji01,1983,191,39,30
4,ripkeca01,1984,195,27,24
4,mattido01,1985,211,35,24
4,parkeda01,1985,198,34,34
4,bellge02,1986,198,31,27
4,cartejo01,1986,200,29,26
4,boggswa01,1987,200,24,29
4,puckeki01,1987,207,28,27
4,trammal01,1987,205,28,29
4,sierrru01,1989,194,29,24
4,palmera01,1991,203,26,27
4,ripkeca01,1991,210,34,31
4,sierrru01,1991,203,25,26
4,olerujo01,1993,200,24,25
4,bicheda01,1995,197,40,32
4,bicheda01,1996,198,31,33
4,burksel01,1996,211,40,32
4,castivi02,1996,191,40,29
4,finlest01,1996,195,30,31
4,galaran01,1996,190,47,35
4,rodrial01,1996,215,36,21
4,vaughmo01,1996,207,44,29
4,galaran01,1997,191,41,36
4,garcino01,1997,209,30,24
4,mondera01,1997,191,30,26
4,piazzmi01,1997,201,40,29
4,walkela01,1997,208,49,31
4,belleal01,1998,200,49,32
4,castivi02,1998,206,46,31
4,garcino01,1998,195,35,25
4,gonzaju03,1998,193,45,29
4,guerrvl01,1998,202,38,23
4,rodrial01,1998,213,42,23
4,sosasa01,1998,198,66,30
4,vaughmo01,1998,205,40,31
4,caseyse01,1999,197,25,25
4,gonzalu01,1999,206,26,32
4,greensh01,1999,190,42,27
4,guerrvl01,1999,193,42,24
4,rodriiv01,1999,199,35,28
4,surhobj01,1999,207,28,35
4,willibe02,1999,202,25,31
4,willima04,1999,190,35,34
4,delgaca01,2000,196,41,28
4,dyeje01,2000,193,33,26
4,gonzalu01,2000,192,31,33
4,guerrvl01,2000,197,44,25
4,heltoto01,2000,216,42,27
4,jonesan01,2000,199,36,23
4,kentje01,2000,196,33,32
4,sosasa01,2000,193,50,32
4,sweenmi01,2000,206,29,27
4,thomafr04,2000,191,43,32
4,vidrojo01,2000,200,24,26
4,anderga01,2001,194,28,29
4,aurilri01,2001,206,37,30
4,berkmla01,2001,191,34,25
4,boonebr01,2001,206,37,32
4,gonzalu01,2001,198,57,34
4,heltoto01,2001,197,49,28
4,jonesch06,2001,189,38,29
4,pujolal01,2001,194,37,21
4,rodrial01,2001,201,52,26
4,anderga01,2002,195,29,30
4,garcino01,2002,197,24,29
4,guerrvl01,2002,206,39,27
4,kentje01,2002,195,37,34
