cluster,player,playerId,fg,3pm,ft,reb,ast,stl,blk,tov,pts,age,similarPlayers
4,Ty Lawson,lawsoty01,0.44,0.93,0.73,3.12,9.60,1.23,0.12,2.47,15.24,27,nixonno01;willira01;nixonno01;theusre01;johnsma02;theusre01;floydsl01;johnsma02;riverdo01;stockjo01;thomais01;portete01;stockjo01;thomais01;portete01;skilesc01;stockjo01;jacksma01;johnske02;skilesc01;willimi02;blaylmo01;stricro02;blaylmo01;stricro02;packro01;brandte01;kiddja01;vanexni01;kiddja01;kiddja01;davisba01;feltora01;paulch01;rondora01;lawsoty01;paulch01;lawsoty01
4,Chris Paul,paulch01,0.49,1.70,0.90,4.59,10.22,1.90,0.18,2.32,19.07,29,willira01;nixonno01;willigu01;nixonno01;cheekma01;richami01;theusre01;cheekma01;johnsma02;thomais01;stockjo01;thomais01;stockjo01;skilesc01;stockjo01;stricro02;johnske02;stricro02;stricro02;brandte01;cassesa01;vanexni01;vanexni01;kiddja01;kiddja01;kiddja01;nashst01;billuch01;davisba01;paulch01;paulch01
4,John Wall,walljo01,0.45,0.82,0.79,4.63,10.03,1.75,0.57,3.85,17.56,24,millean02;millean02;willide01;willide01;paulch01;rondora01;willide01;paulch01;walljo01;nixonno01;richami01;fordph01;nixonno01;richami01;johnsma02;johnsma02;johnsma02;thomais01;drexlcl01;floydsl01;portete01;stockjo01;jacksma01;portete01;pricema01;grantga01;hardati01;douglsh01;richapo01;johnske02;richapo01;willimi02;anderke01;anderke01;vanexni01;anderke01;vanexni01;stoudda01;kiddja01
16,Chris Bosh,boshch01,0.46,1.43,0.77,7.05,2.16,0.93,0.57,2.16,21.09,30,mashbja01;robingl01;robingl01;jamisan01;cartevi01;nowitdi01;boshch01;mitchmi01;mchalke01;mchalke01;chambto01;drexlcl01;harpero01;pippesc01;robincl02;kukocto01
16,Rudy Gay,gayru01,0.46,1.16,0.86,5.87,3.68,1.04,0.60,2.69,21.06,28,robingl01;mashbja01;robingl01;mashbja01;robingl01;jamisan01;piercpa01;lewisra02;butleca01;howarjo01;maggeco01;nowitdi01;richaja01;artesro01;butleca01;harrial01;westda01;stoudam01;anthoca01;gayru01;gayru01;mcadobo01;englial01;wilkeja01;drewjo01;mitchmi01;johnsma01;mitchmi01;mitchmi01;nattca01;carrojo01;mchalke01;carrojo01;chambto01;nancela01;chambto01;cummite01;worthja01;cummite01;worthja01;mannida01;pippesc01;robincl02;pippesc01;robincl02;robincl02;gillke01;guglito01;guglito01
16,Blake Griffin,griffbl01,0.50,0.15,0.73,7.58,5.28,0.94,0.52,2.27,21.93,25,walkean02;abdursh01;jamisan01;walkean02;abdursh01;jamisan01;walkean02;maggeco01;nowitdi01;hughela01;jefferi01;maggeco01;richaja01;jefferi01;butleca01;curryed01;anthoca01;stoudam01;aldrila01;bargnan01;gayru01;aldrila01;anderry01;griffbl01;drewjo01;mitchmi01;wilkeja01;drewjo01;johnsma01;kingbe01;mitchmi01;moncrsi01;johnsma01;kingbe01;moncrsi01;nattca01;shortpu01;carrojo01;johnsed03;moncrsi01;wilkido01;chambto01;woolror01;aguirma01;cummite01;hinsoro01;nancela01;cummite01;ewingpa01;baileth01;cummite01;mcdanxa01;persoch01;mcdanxa01;smithch01;tisdawa01;smithch01;tisdawa01;anderni01;mannida01;ricegl01;anderni01;mannida01;cebalce01;johnsla02;cebalce01;johnsla02;ellisla01;robingl01;finlemi01;webbech01
22,Steven Adams,adamsst01,0.54,0.00,0.50,7.47,0.94,0.54,1.23,1.41,7.67,21,hinsoro01;tarplro01;davisda01;roziecl01;stewami01;battito01;chandty01;dalemsa01;griffed01;milicda01;davised01;jordade01;davised01;aminual01;biyombi01;adamsst01;biyombi01;lenal01;nurkiju01
22,Omer Asik,asikom01,0.52,0.00,0.58,9.84,0.95,0.38,0.71,1.25,7.33,28,griffpa01;webstma01;dunntr01;rollitr01;cookje01;dunntr01;eatonma01;greenda01;jonesch01;poquebe01;rollitr01;greenda01;rambiku01;mahorri01;greensi02;listeal01;westma01;thompla01;cagemi01;kitegr01;thompla01;oaklech01;pincked01;polynol01;dudlech02;oaklech01;andergr01;dudlech02;ellispe01;masseto01;willisc01;davisda01;horryro01;milleol01;davisda01;outlabo01;smithmi02;bradlsh01;outlabo01;smithmi02;willije01;catoke01;cambyma01;dampier01;foylead01;ostergr01;catoke01;fosteje01;mcdyean01;olowomi01;fosteje01;nestera01;fosteje01;haywobr01;magloja01;thomaet01;evansre01;przybjo01;collini01;dalemsa01;przybjo01;chandty01;brownkw01;hayesch01;pachuza01;perkike01;bogutan01;pachuza01;asikom01;bogutan01;thompja02;asikom01;noahjo01;thompja02
22,Bismack Biyombo,biyombi01,0.54,0.00,0.58,6.36,0.25,0.28,1.55,0.81,4.75,22,wrighlo02;fortsda01;skinnbr01;whiteja01;chandty01;dalemsa01;dalemsa01;griffed01;brownkw01;chandty01;hayesch01;boonejo01;milicda01;perkike01;noahjo01;biedran01;davised01;jordade01;davised01;jordade01;aminual01;koufoko01;adamsst01;biyombi01;lenal01;hinsoro01;levincl01;koncajo01;tarplro01;spencfe01;causwdu01;davisda01;hillty01;jonespo01;roziecl01;smithmi02;ostergr01;stewami01;battito01
22,Andrew Bogut,bogutan01,0.56,0.00,0.52,8.10,2.69,0.58,1.69,1.58,6.30,30,willisc01;davisda01;outlabo01;jonespo01;bradlsh01;ostergr01;catoke01;mcdyean01;ostergr01;ratlith01;willije01;catoke01;dampier01;fosteje01;dampier01;fosteje01;fosteje01;anderch01;przybjo01;anderch01;przybjo01;evansre01;dalemsa01;hasleud01;dalemsa01;bogutan01;bogutan01;noahjo01;johnsge02;raycl01;jonesca01;webstma01;kelleri01;poquebe01;rollitr01;rollitr01;coopewa01;eatonma01;rollitr01;coopewa01;donalja01;eatonma01;listeal01;smithla01;curetea01;listeal01;mahorri01;smithla01;rambiku01;cagemi01;kitegr01;thompla01;westma01;cagemi01;oaklech01;andergr01;pincked01;dudlech02;dudlech02;dudlech02;garrede01;masseto01;garrede01;davisda01;johnser02
22,Kevin Garnett,garneke01,0.47,0.02,0.80,6.62,1.64,0.98,0.36,0.98,6.87,38,rodmade01;mutomdi01;cambyma01;garneke01;garneke01
22,Alex Len,lenal01,0.51,0.01,0.70,6.58,0.46,0.49,1.52,1.07,6.26,21,hinsoro01;tarplro01;davisda01;roziecl01;stewami01;battito01;chandty01;dalemsa01;griffed01;milicda01;davised01;jordade01;davised01;aminual01;biyombi01;adamsst01;biyombi01;lenal01;nurkiju01
22,Joakim Noah,noahjo01,0.45,0.00,0.60,9.64,4.66,0.72,1.10,1.84,7.24,29,outlabo01;bradlsh01;outlabo01;smithmi02;bradlsh01;cambyma01;ostergr01;catoke01;mcdyean01;olowomi01;ostergr01;ratlith01;willije01;catoke01;fosteje01;nestera01;dampier01;fosteje01;fosteje01;magloja01;thomaet01;przybjo01;anderch01;collini01;przybjo01;przybjo01;brownkw01;evansre01;dalemsa01;bogutan01;pachuza01;bogutan01;asikom01;bogutan01;noahjo01;thompja02;jonesca01;webstma01;dunntr01;kelleri01;poquebe01;rollitr01;greenda01;rollitr01;coopewa01;eatonma01;mahorri01;donalja01;listeal01;smithla01;listeal01;mahorri01;westma01;thompla01;cagemi01;kitegr01;thompla01;westma01;oaklech01;pincked01;oaklech01;andergr01;pincked01;dudlech02;dudlech02;ellispe01;garrede01;masseto01;willisc01;davisda01;davisda01
22,Jusuf Nurkic,nurkiju01,0.45,0.00,0.64,6.16,0.81,0.84,1.10,1.39,6.87,20,chandty01;davised01;biyombi01;drumman01;adamsst01;lenal01;nurkiju01
22,Larry Sanders,sandela01,0.50,0.00,0.50,6.15,0.85,0.96,1.44,1.04,7.26,26,douglle01;griffpa01;rollitr01;rollitr01;dunntr01;rollitr01;cookje01;eatonma01;listeal01;smithla01;greenda01;jonesch01;mahorri01;rambiku01;rambiku01;greensi02;greensi02;dudlech02;dudlech02;langan01;masonan01;polynol01;dudlech02;langan01;willilo01;willisc01;willilo01;jonespo01;montrer01;horryro01;milleol01;smithmi02;ostergr01;smithmi02;willije01;feickja01;smithmi02;wallabe01;foylead01;pollasc01;willije01;battito01;catoke01;fosteje01;pollasc01;walkesa01;whiteja01;battito01;dampier01;foylead01;stepavl01;fosteje01;collija04;gadzuda01;przybjo01;evansre01;przybjo01;evansre01;haywobr01;evansre01;varejan01;dalemsa01;chandty01;hayesch01;perkike01;pachuza01;perkike01;asikom01;plumlmi01;sandela01;thompja02;sandela01
22,Jason Thompson,thompja02,0.47,0.00,0.62,6.54,1.05,0.41,0.70,1.04,6.06,28,outlabo01;smithmi02;bradlsh01;outlabo01;smithmi02;willije01;catoke01;cambyma01;dampier01;foylead01;ostergr01;catoke01;fosteje01;mcdyean01;olowomi01;fosteje01;nestera01;fosteje01;haywobr01;magloja01;thomaet01;evansre01;przybjo01;collini01;dalemsa01;przybjo01;chandty01;brownkw01;hayesch01;pachuza01;perkike01;bogutan01;pachuza01;asikom01;bogutan01;thompja02;asikom01;noahjo01;thompja02;griffpa01;webstma01;dunntr01;rollitr01;cookje01;dunntr01;eatonma01;greenda01;jonesch01;poquebe01;rollitr01;greenda01;rambiku01;mahorri01;greensi02;listeal01;westma01;thompla01;cagemi01;kitegr01;thompla01;oaklech01;pincked01;polynol01;dudlech02;oaklech01;andergr01;dudlech02;ellispe01;masseto01;willisc01;davisda01;horryro01;milleol01;davisda01
28,Tyson Chandler,chandty01,0.67,0.00,0.72,11.52,1.12,0.56,1.21,1.40,10.28,32,mutomdi01;hillty01;thomaku01;cambyma01;wallabe01;cambyma01;cambyma01;chandty01;unselwe01;donalja01;rodmade01;rodmade01;willibu01;rodmade01;mutomdi01
28,DeAndre Jordan,jordade01,0.71,0.01,0.40,14.95,0.74,0.99,2.23,1.33,11.54,26,smithla01;oaklech01;andergr01;mutomdi01;jonespo01;cambyma01;wallabe01;cambyma01;fortsda01;wallabe01;chandty01;dalemsa01;humphkr01;noahjo01;asikom01;noahjo01;jordade01;jordade01
14,Andre Drummond,drumman01,0.51,0.00,0.39,13.46,0.67,0.89,1.87,1.46,13.78,21,mariosh01;boozeca01;okafoem01;howardw01;jeffeal01;bynuman01;loveke01;monrogr01;couside01;monrogr01;vucevni01;drumman01;drumman01;kanteen01;greenda01;willibu01;willibu01;malonka01;kempsh01;kempsh01;ellisla01;smithjo02
14,Tim Duncan,duncati01,0.51,0.03,0.74,9.14,2.99,0.82,1.96,1.70,13.90,38,parisro01;ewingpa01;duncati01;duncati01
14,Dwight Howard,howardw01,0.59,0.02,0.53,10.51,1.22,0.68,1.29,2.80,15.76,29,grantbr01;marshdo01;millebr01;mariosh01;odomla01;murphtr01;murphtr01;boozeca01;varejan01;noahjo01;howardw01;mcginge01;washike01;lucasma01;lucasma01;lucasma01;thompmy01;waltobi01;cummipa01;laimbbi01;laimbbi01;gminsmi01;laimbbi01;bowiesa01;willibu01;daughbr01;grantho01;greenac01;seikaro01;masonan01;masonan01;mutomdi01;vaughlo01;willija01;divacvl01
14,Enes Kanter,kanteen01,0.52,0.21,0.78,8.95,0.73,0.48,0.39,1.93,15.51,22,dawkida01;greenda01;greenda01;kingre01;rulanje01;willibu01;willibu01;willibu01;malonka01;oaklech01;tarplro01;kempsh01;kempsh01;ellisla01;guglito01;ellisla01;mariosh01;boozeca01;goodedr01;okafoem01;okafoem01;jeffeal01;bogutan01;horfoal01;loveke01;monrogr01;couside01;monrogr01;vucevni01;monrogr01;vucevni01;drumman01;kanteen01
