cluster,player,playerId,season,fg,3pm,ft,reb,ast,stl,blk,tov,pts,age
4,Magic Johnson*,johnsma02,1980,0.53,0.09,0.81,7.74,7.31,2.43,0.53,3.96,18.01,20
4,Norm Nixon,nixonno01,1980,0.52,0.01,0.78,2.79,7.83,1.79,0.17,3.51,17.63,24
4,Micheal Ray Richardson,richami01,1980,0.47,0.33,0.66,6.57,10.15,3.23,0.43,4.38,15.29,24
4,Phil Ford,fordph01,1981,0.48,0.17,0.83,1.94,8.79,1.50,0.09,3.65,17.47,24
4,Norm Nixon,nixonno01,1981,0.48,0.03,0.78,2.94,8.81,1.85,0.14,3.61,17.09,25
4,Micheal Ray Richardson,richami01,1981,0.47,0.29,0.66,6.90,7.94,2.94,0.44,3.82,16.37,25
4,Magic Johnson*,johnsma02,1982,0.54,0.08,0.76,9.63,9.53,2.67,0.44,3.67,18.55,22
4,Norm Nixon,nixonno01,1982,0.49,0.04,0.81,2.15,7.95,1.61,0.09,2.90,17.56,26
4,Isiah Thomas*,thomais01,1982,0.42,0.24,0.70,2.90,7.85,2.08,0.24,4.15,17.01,20
4,Magic Johnson*,johnsma02,1983,0.55,0.00,0.80,8.65,10.49,2.23,0.59,3.81,16.78,23
4,Ray Williams,willira01,1983,0.39,0.21,0.77,4.54,7.90,1.67,0.36,4.65,15.40,28
4,Magic Johnson*,johnsma02,1984,0.57,0.09,0.81,7.33,13.06,2.24,0.73,4.57,17.58,24
4,Norm Nixon,nixonno01,1984,0.46,0.13,0.76,2.48,11.15,1.15,0.05,3.13,16.96,28
4,Gus Williams,willigu01,1984,0.46,0.05,0.75,2.55,8.44,2.36,0.31,2.90,18.71,30
4,Magic Johnson*,johnsma02,1985,0.56,0.09,0.84,6.18,12.57,1.47,0.32,3.96,18.26,25
4,Norm Nixon,nixonno01,1985,0.47,0.41,0.78,2.69,8.78,1.17,0.05,3.37,17.22,29
4,Reggie Theus,theusre01,1985,0.49,0.06,0.86,3.29,8.00,1.16,0.22,3.74,16.35,27
4,Isiah Thomas*,thomais01,1985,0.46,0.36,0.81,4.46,13.86,2.31,0.31,3.73,21.23,23
4,Maurice Cheeks,cheekma01,1986,0.54,0.05,0.84,2.87,9.18,2.52,0.33,2.90,15.44,29
4,Clyde Drexler*,drexlcl01,1986,0.48,0.16,0.77,5.61,8.00,2.63,0.61,3.76,18.52,23
4,Sleepy Floyd,floydsl01,1986,0.51,0.48,0.80,3.62,9.10,1.91,0.20,3.54,17.20,25
4,Magic Johnson*,johnsma02,1986,0.53,0.14,0.87,5.92,12.60,1.57,0.22,3.79,18.81,26
4,John Lucas,lucasjo01,1986,0.45,0.69,0.78,2.20,8.78,1.18,0.08,2.29,15.48,32
4,Micheal Ray Richardson,richami01,1986,0.45,0.09,0.79,5.32,7.23,2.66,0.23,3.19,15.68,30
4,Reggie Theus,theusre01,1986,0.48,0.07,0.83,3.71,9.61,1.37,0.24,3.99,18.33,28
